,CO_MUNICIPIO,CO_ENTIDADE,NO_ENTIDADE,TP_LOCALIZACAO,TP_OCUPACAO_PREDIO_ESCOLAR
60621,MARACANAU,23080809,LICEU DE MARACANAU EMEF,URBANA,PROPRIO
61047,MARACANAU,23212454,ELIAS SILVA OLIVEIRA EMEIEF,URBANA,ALUGADO
61069,MARACANAU,23197170,RACHEL DE QUEIROZ EMEIEF,URBANA,PROPRIO
61070,MARACANAU,23197196,WALMIKI SAMPAIO DE ALBUQUERQUE EMEIEF,URBANA,CEDIDO
61202,MARACANAU,23206152,JULIO CESAR COSTA LIMA I EMEIEF,URBANA,ALUGADO
61454,MARACANAU,23079614,POVO PITAGUARI EMIEB,RURAL,PROPRIO
62151,MARACANAU,23197269,PENSANDO E CONSTRUINDO EMEF,URBANA,ALUGADO
62277,MARACANAU,23274514,HEITOR VILLA LOBOS EMEIEF,URBANA,ALUGADO
64099,MARACANAU,23080957,MANOEL ROSEO LANDIM EMEF,URBANA,PROPRIO
64383,MARACANAU,23242655,MARIO COVAS GOV EMEIEF,URBANA,ALUGADO
64909,MARACANAU,23081309,PARQUE PIRATININGA EMEIEF,URBANA,PROPRIO
64997,MARACANAU,23223057,CORA CORALINA - EMEIEF,URBANA,ALUGADO
65505,MARACANAU,23232692,TERESA DE CALCUTA MADRE EMEF,URBANA,ALUGADO
67817,MARACANAU,23251255,MARILENE LOPES RABELO PROFESSORA EMEIEF,URBANA,ALUGADO
68431,MARACANAU,23081856,LUIZ GONZAGA DOS SANTOS EMEIEF,URBANA,PROPRIO
68540,MARACANAU,23079894,CESAR CALS DE OLIVEIRA FILHO GOVERNADOR EMEIEF,URBANA,PROPRIO
68541,MARACANAU,23079908,CESAR CALS NETO EMEIEF,URBANA,PROPRIO
68576,MARACANAU,23080167,EDWIRGES SANTA EMEIEF,URBANA,PROPRIO
68577,MARACANAU,23080256,EVANDRO AYRES DE MOURA EMEF,URBANA,PROPRIO
68627,MARACANAU,23080299,FRANCISCO ANTONIO FONTENELE EMEIEF,URBANA,PROPRIO
68738,MARACANAU,23080590,JOSE ASSIS DE OLIVEIRA EMEIEF,URBANA,PROPRIO
68739,MARACANAU,23080698,JOSE MARIO BARBOSA EMEIEF,RURAL,PROPRIO
68741,MARACANAU,23080728,JOSE NOGUEIRA MOTA EMEIFE,RURAL,PROPRIO
69067,MARACANAU,23081171,ADAUTO FERREIRA LIMA EMEIEF,URBANA,PROPRIO
69068,MARACANAU,23081180,NAPOLEAO BONAPARTE VIANA EMEIEF,URBANA,PROPRIO
69069,MARACANAU,23081201,NORBERTO ALVES BATALHA EMEIEF,URBANA,PROPRIO
69574,MARACANAU,23197137,SINFRONIO PEIXOTO DE MORAIS EMEIEF,URBANA,PROPRIO
70082,MARACANAU,23081490,RUI BARBOSA EMEF,URBANA,PROPRIO
71578,MARACANAU,23564105,MARIA JOSE HOLANDA DO VALE PROF EMEIEF,URBANA,ALUGADO
71764,MARACANAU,23081732,ANTONIO DE ALBUQUERQUE SOUSA FILHO EMEIEF,URBANA,PROPRIO
72839,MARACANAU,23271019,MARIA DE JESUS DE SOUSA MACAMBIRA PROFª EMEIEF,URBANA,ALUGADO
76172,MARACANAU,23223065,VINICIUS DE MORAIS EMEF,URBANA,PROPRIO
77131,MARACANAU,23206187,JOAO MAGALHAES DE OLIVEIRA EMEIEF,URBANA,PROPRIO
81032,MARACANAU,23232706,CARLOS DRUMMOND DE ANDRADE EMEIEF,URBANA,ALUGADO
81042,MARACANAU,23225394,MARIA MARQUES DO NASCIMENTO EMEIEF,URBANA,CEDIDO
84986,MARACANAU,23270977,CEZARINA DE OLIVEIRA GOMES PROFª EMEIEF,URBANA,ALUGADO
85121,MARACANAU,23080949,MANOEL MOREIRA LIMA EMEIEF,URBANA,PROPRIO
87006,MARACANAU,23270896,MARIA JOSE ISIDORO PROFª EMEIEF,URBANA,ALUGADO
87027,MARACANAU,23176962,MARIA DE LOURDES SILVA PROFª EMEF,URBANA,PROPRIO
