NO_ENTIDADE,QT_EQUIP_DVD,QT_EQUIP_SOM,QT_EQUIP_TV,QT_EQUIP_MULTIMIDIA
ADAUTO FERREIRA LIMA EMEIEF,0,5,1,1
ADELIA SANTOS DE SOUSA PROFª EMEIEF,1,8,4,2
ALMIR FREITAS DUTRA PREF EMEIEF,3,4,3,2
ANA BEATRIZ MACEDO TAVARES MARQUES ESTUDANTE EMEF,0,8,4,3
ANTONIO DE ALBUQUERQUE SOUSA FILHO EMEIEF,5,10,4,4
ANTONIO GONDIM DE LIMA EMEIEF,1,2,1,2
APRENDER PENSANDO EMEF,5,5,2,4
BRAZ RIBEIRO DA SILVA EMEF,2,2,2,2
CARLOS DRUMMOND DE ANDRADE EMEIEF,2,4,3,1
CARLOS JEREISSATI SEN EMEIEF,0,3,2,1
CENTRO DE EDUCACAO DE JOVENS E ADULTOS DA PAJUCARA,1,2,1,1
CENTRO DE EJA DE MARACANAU-CEJAM,0,0,1,0
CENTRO INTEGRADO DE EDUCACAO SAUDE E ASSISTENCIA SOCIAL DE MARACANAU - CIES,1,4,7,2
CESAR CALS DE OLIVEIRA FILHO GOVERNADOR EMEIEF,2,3,3,1
CESAR CALS NETO EMEIEF,1,3,1,3
CEZARINA DE OLIVEIRA GOMES PROFª EMEIEF,3,3,5,1
CONSTRUINDO O SABER EMEIEF,1,2,1,2
CORA CORALINA - EMEIEF,1,2,2,1
DULCE IRMA EMEIEF,1,3,2,1
EDSON QUEIROZ EMEF,2,2,1,0
EDWIRGES SANTA EMEIEF,2,5,2,0
ELEAZAR DE CARVALHO MAESTRO EMEF,2,2,2,3
ELIAS SILVA OLIVEIRA EMEIEF,3,6,1,1
ELSA MARIA LAUREANO PEREIRA CENTRO DE EDUCACAO INFANTIL,1,0,2,0
EVANDRO AYRES DE MOURA EMEF,10,5,3,2
FRANCISCA FLORENCIA DA SILVA PROFª EMEIEF,1,1,1,1
FRANCISCO ANTONIO FONTENELE EMEIEF,3,3,2,2
FRANCISCO ARAUJO DO NASCIMENTO PROF EMEIEF,1,2,2,1
FRANCISCO BARBOSA COMISSARIO EMEIEF,1,5,8,4
FRANCISCO OSCAR RODRIGUES PROFº EMEIEF,2,3,2,1
GENCIANO GUERREIRO DE BRITO EMEF,3,7,3,1
HEITOR VILLA LOBOS EMEIEF,1,2,0,1
HELDER PESSOA CAMARA DOM EMEIEF,3,5,2,1
HERBERT JOSE DE SOUZA BETINHO EMEF,2,10,2,2
INTEGRANDO O SABER EMEIEF,3,6,3,1
JATOBA EMEF,0,2,1,3
