,CO_MUNICIPIO,CO_ENTIDADE,NO_ENTIDADE,TP_LOCALIZACAO,TP_OCUPACAO_PREDIO_ESCOLAR
62277,MARACANAU,23274514,HEITOR VILLA LOBOS EMEIEF,URBANA,ALUGADO
64099,MARACANAU,23080957,MANOEL ROSEO LANDIM EMEF,URBANA,PROPRIO
64383,MARACANAU,23242655,MARIO COVAS GOV EMEIEF,URBANA,ALUGADO
64909,MARACANAU,23081309,PARQUE PIRATININGA EMEIEF,URBANA,PROPRIO
64997,MARACANAU,23223057,CORA CORALINA - EMEIEF,URBANA,ALUGADO
68739,MARACANAU,23080698,JOSE MARIO BARBOSA EMEIEF,RURAL,PROPRIO
68741,MARACANAU,23080728,JOSE NOGUEIRA MOTA EMEIFE,RURAL,PROPRIO
68987,MARACANAU,23197358,INTEGRANDO O SABER EMEIEF,URBANA,PROPRIO
69306,MARACANAU,23270900,FRANCISCA FLORENCIA DA SILVA PROFª EMEIEF,URBANA,ALUGADO
76172,MARACANAU,23223065,VINICIUS DE MORAIS EMEF,URBANA,PROPRIO
77822,MARACANAU,23270926,ADELIA SANTOS DE SOUSA PROFª EMEIEF,URBANA,ALUGADO
81042,MARACANAU,23225394,MARIA MARQUES DO NASCIMENTO EMEIEF,URBANA,CEDIDO
87006,MARACANAU,23270896,MARIA JOSE ISIDORO PROFª EMEIEF,URBANA,ALUGADO
