NO_ENTIDADE,QT_EQUIP_LOUSA_DIGITAL
APRENDER PENSANDO EMEF,0
CENTRO DE EJA DE MARACANAU-CEJAM,0
CEZARINA DE OLIVEIRA GOMES PROFª EMEIEF,0
EDSON QUEIROZ EMEF,0
ELSA MARIA LAUREANO PEREIRA CENTRO DE EDUCACAO INFANTIL,0
FRANCISCA FLORENCIA DA SILVA PROFª EMEIEF,0
FRANCISCO ARAUJO DO NASCIMENTO PROF EMEIEF,0
GENCIANO GUERREIRO DE BRITO EMEF,0
INTEGRANDO O SABER EMEIEF,0
JATOBA EMEF,0
JOSE NOGUEIRA MOTA EMEIFE,0
LUIZ GONZAGA DOS SANTOS EMEIEF,0
MARIA DO SOCORRO VIANA FREITAS PROFª EMEIEF,0
MARIA JOSE HOLANDA DO VALE PROF EMEIEF,0
MIRIAN PORTO MOTA CRECHE MUNICIPAL,0
NAPOLEAO BONAPARTE VIANA EMEIEF,0
NOSSA SENHORA DE FATIMA CRECHE MUNICIPAL,0
OSMIRA EDUARDO DE CASTRO CRECHE MUNICIPAL,0
VINICIUS DE MORAIS EMEF,0
